TokenID,FullText,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,metadata
42023008,Herod was very happy to see Jesus . He had wanted to see him for a long time . He hoped to see him perform a miracle .,had wanted,0,0,1,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
42023015,» Herod found no fault and sent him back to us . He has done nothing worthy of death .,has done nothing,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42024004,They were perplexed about what had happened . Two men stood by them in dazzling apparel .,had happened,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,
42024023,"» They did not find his body . They said that they had also seen a vision of angels , who said that he was alive .",had seen (a vision),0,1,0,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,
42024030,When he had sat down with them to eat he took the bread and blessed ; and breaking it he gave to them .,had sat down,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,
43001041,He found his brother Simon first . He said to him : » We have found the Messiah Christ . «,have found,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
43002010a,He said to him : » Every man sets out the good wine first . When the men have drunk freely the lower quality wine is served . You have kept the good wine until now . «,have drunk,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
43003011,» This is the truth . We speak what we know and witness about what we have seen . But you do not receive our testimony .,have seen,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
43003024,John had not yet been thrown into prison .,had not been thrown (into prison),0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,
43003032b,"» He testifies about what he has seen and heard , but no man accepts his testimony .",[have] heard,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
43003035,» The Father loves the Son and has given all things into his hand .,has given,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
43004039,Many Samaritans of that city put faith believed in him because of what the woman said : » He told me everything I have ever done . «,have done,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
