"verse_id","language","text"
"11013020","ENG","But while they were seated at the table , the word of Jehovah came to the old prophet who had brought him back ."
"11013021","DEU","und er rief dem Gottesmann , der aus Juda gekommen war , zu : So spricht der Herr : Weil du dem Befehl des Herrn ungehorsam gewesen bist und das Gebot nicht gehalten hast , das dir der Herr , dein Gott , gegeben ,"
"11013021","ENG","Crying out to the man of God who came from Judah , he said : » Jehovah says , ‘ because you have gone against the voice of Jehovah , and have not done as Jehovah ordered you ,"
"11013022","DEU","sondern umgekehrt bist und gegessen und getrunken hast an dem Orte , von dem er dir gesagt hat , du sollest dort weder essen noch trinken - darum wird dein Leichnam nicht in deiner Väter Grab kommen ."
"11013022","ENG","but have come back , and have taken food and water in this place where he said you were to take no food or water ; your dead body will not be put to rest with your fathers . ’ «"
"11014009","DEU","sondern hast mehr Böses getan als alle , die vor dir gewesen sind , und bist hingegangen und hast dir andre Götter gemacht und gegossene Bilder , sodass du mich zum Zorne reiztest , und hast mir den Rücken gekehrt ."
"11014009","ENG","» You have committed far greater sins than those who ruled before you . You have rejected me and have aroused my anger by making idols and metal images to worship ."
"11014011","DEU","Wer von Jerobeam in der Stadt stirbt , den sollen die Hunde fressen ; wer aber auf dem Felde stirbt , den sollen die Vögel des Himmels fressen ; denn der Herr hat es geredet ."
"11014011","ENG","» Dogs will eat members of your family who die in the city . Vultures will eat any who die in the open country . I , Jehovah , have spoken ! «"
"11014026","DEU","Und er nahm die Schätze des Königspalastes , alles nahm er weg , auch alle goldenen Schilde , die Salomo hatte machen lassen ."
"11014026","ENG","He took the treasures from Jehovah’s Temple and the royal palace . He took them all . He took all the gold shields Solomon had made ."
"11015013","DEU","Er entsetzte auch seine Mutter Maacha ihrer Würde als "" Gebieterin "" , weil sie ein Götzenbild für die Aschera hatte machen lassen . Und Asa hieb ihr Götzenbild um und verbrannte es im Kidrontale ."
"11015013","ENG","He would not let Maacah his mother be queen , because she had made a disgusting image for Asherah . Asa had the obscene image cut down and burned by the Kidron Stream ."
"11015019","DEU","Es besteht ja ein Bündnis zwischen mir und dir , zwischen meinem Vater und deinem Vater ; so sende ich dir nun ein Geschenk an Silber und Gold . Wohlan , löse denn dein Bündnis mit Baesa , dem König von Israel , dass er von mir weg ziehe ."
"11015019","ENG","Let there be an agreement between us just as there was between my father and your father . I have sent you an offering of silver and gold . End your agreement with Baasha , king of Israel that he may give up attacking me ."
"11016002","DEU","Weil du , wiewohl ich dich aus dem Staub erhoben und dich zum Fürsten über mein Volk Israel gemacht habe , dennoch auf dem Wege Jerobeams gewandelt bist und mein Volk Israel verführt hast , sodass sie mich durch ihre Sünden erzürnen :"
"11016002","ENG","» I lifted you out of the dust and made you ruler over my people Israel . You have gone the way of Jeroboam . You made my people Israel do evil , moving me to wrath by their sins ."
"11017018","DEU","Da sprach sie zu Elia : Was habe ich mit dir zu schaffen , du Mann Gottes ? Du bist ja nur zu mir gekommen , dass meiner Schuld gedacht werde und mein Sohn sterbe ."
"11017018","ENG","She said to Elijah : » What have I to do with you , O man of God ? Have you come to put God in mind of my sin , and to put my son to death ? «"
"11018012","DEU","Wenn ich nun von dir weg ginge und der Geist des Herrn entführte dich , wer weiss wohin , und ich käme dann zu Ahab , um ihm zu berichten , und er fände dich nicht , so würde er mich umbringen . Und doch hat dein Knecht den Herrn von Jugend auf gefürchtet ."
"11018012","ENG","» What if the Spirit of Jehovah carries you off to some unknown place as soon as I leave ? Then , when I tell Ahab that you are here and he cannot find you , he will put me to death . Remember that I have been a devout worshiper of Jehovah ever since I was a boy ."
"11018018","DEU","Er aber sprach : Nicht ich habe Israel ins Verderben gestürzt , sondern du und dein Geschlecht , weil ihr den Herrn verlassen habt und den Baalen nachgelaufen seid ."
"11018018","ENG","Then he said in answer : » I have not made trouble for Israel . You and your family have . You have disobeyed Jehovah’s commands and have gone after the Baals ."
"11018023","DEU","Man gebe uns nun zwei Stiere ; davon mögen sie sich den einen auswählen , ihn zerstücken und auf den Holzstoss tun , aber kein Feuer daranlegen ; ich will den andern Stier zurichten und auf den Holzstoss tun und auch kein Feuer daranlegen ."
"11018023","ENG","» Let them give us two bulls . Let them take one for themselves and have it cut up , and put it on the wood , but put no fire under it . I will get the other bull ready , and put it on the wood , and put no fire under it ."
